Phase angle  Polarization  Error
 (degree)        (%)        (%)
    5.0          0.4        2.2
   10.0          4.1        1.9
   15.0          8.0        1.3
   20.0         11.6        1.1
   25.0         15.0        1.2
   30.0         19.6        1.0
   40.0         26.5        1.1
   50.0         36.9        1.2
   60.0         48.2        1.2
   70.0         59.7        1.2
   80.0         73.4        0.9
   90.0         79.8        0.8
  100.0         77.9        1.0
  110.0         68.9        1.1
  120.0         55.6        1.2
  130.0         45.3        1.2
  140.0         31.3        1.1
  150.0         17.7        0.9
  160.0          5.4        0.9
  170.0          3.1        1.7
